volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,tectonic_settings,evidence_category,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km,eruption_count,country-code
283002,Sanbesan,Stratovolcano,650,Japan,"Japan, Taiwan, Marianas",Honshu,35.141,132.622,1126,Subduction zone / Continental crust (>25 km),Eruption Dated,1300,6795,171742,3597290,0,392
322040,Sand Mountain Field,Pyroclastic cone,-950,United States,Canada and Western USA,USA (Oregon),44.38,-121.93,1664,Subduction zone / Continental crust (>25 km),Eruption Dated,89,89,1574,519291,0,840
352090,Sangay,Stratovolcano,2020,Ecuador,South America,Ecuador,-2.005,-78.341,5286,Subduction zone / Continental crust (>25 km),Eruption Observed,231,1675,15130,1355275,11,218
264050,Sangeang Api,Complex,2020,Indonesia,Indonesia,Lesser Sunda Islands,-8.2,119.07,1912,Subduction zone / Continental crust (>25 km),Eruption Observed,204,1155,39301,809132,21,360
264060,"Sano, Wai",Caldera,Unknown,Indonesia,Indonesia,Lesser Sunda Islands,-8.724,119.986,1319,Subduction zone / Continental crust (>25 km),Evidence Credible,127347,127347,242184,831863,0,360
343020,Santa Ana,Stratovolcano,2005,El Salvador,México and Central America,El Salvador and Honduras,13.853,-89.63,2381,Subduction zone / Continental crust (>25 km),Eruption Observed,489,21653,1240131,6486880,19,222
353091,Santa Cruz,Shield,Unknown,Ecuador,South America,Galapagos Islands,-0.62,-90.33,864,Rift zone / Oceanic crust (< 15 km),Evidence Credible,8529,8529,8800,18434,0,218
351021,Santa Isabel,Shield,-850,Colombia,South America,Colombia,4.818,-75.365,4944,Subduction zone / Continental crust (>25 km),Eruption Dated,4793,12226,302952,4137147,0,170
342030,Santa Maria,Stratovolcano,2020,Guatemala,México and Central America,Guatemala,14.757,-91.552,3745,Subduction zone / Continental crust (>25 km),Eruption Observed,8675,119462,1259600,6197420,3,320
353090,Santiago,Shield,1906,Ecuador,South America,Galapagos Islands,-0.22,-90.77,920,Rift zone / Oceanic crust (< 15 km),Eruption Observed,74,74,104,12001,3,218
342150,"Santiago, Cerro",Volcanic field,Unknown,Guatemala,México and Central America,Guatemala,14.33,-89.87,1192,Subduction zone / Continental crust (>25 km),Evidence Credible,226325,226325,405083,8210264,0,320
212040,Santorini,Shield,1950,Greece,Mediterranean and Western Asia,Greece,36.404,25.396,367,Subduction zone / Continental crust (>25 km),Eruption Observed,5176,12266,12336,67468,8,300
261131,Sarik-Gajah,Pyroclastic cone,Unknown,Indonesia,Indonesia,Sumatra,0.074,100.189,737,Subduction zone / Continental crust (>25 km),Evidence Uncertain,5188,21465,247754,2951369,0,360
290240,Sarychev Peak,Stratovolcano,2019,Russia,Kuril Islands,Kuril Islands,48.092,153.2,1496,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,17,143,143,148,21,643
290080,Sashiusudake [Baransky],Stratovolcano,1951,Japan - administered by Russia,Kuril Islands,Kuril Islands,45.1,148.019,1125,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,0,0,4061,6487,3,0
390090,Saunders,Stratovolcano,2020,United Kingdom,Antarctica,Antarctica and South Sandwich Islands,-57.8,-26.483,843,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,0,8,826
244040,Savai'i,Shield,1911,Samoa,New Zealand to Fiji,Samoan and Wallis Islands,-13.612,-172.525,1858,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,0,59,34215,188465,8,882
255070,Savo,Stratovolcano,1847,Solomon Islands,Melanesia and Australia,Bougainville and Solomon Islands,-9.13,159.82,485,Subduction zone / Crustal thickness unknown,Eruption Observed,3200,3200,6251,174571,4,90
231160,"Sawad, Harra Es-",Volcanic field,1253,Yemen,Middle East and Indian Ocean,Middle East (southern),13.58,46.12,1737,Intraplate / Continental crust (>25 km),Eruption Observed,74598,74598,74598,850297,1,887
390050,Seal Nunataks Group,Pyroclastic cone,Unknown,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-65.03,-60.05,368,Intraplate / Continental crust (>25 km),Evidence Credible,0,0,0,0,2,10
311180,Seguam,Stratovolcano,1993,United States,Alaska,Aleutian Islands,52.315,-172.51,1054,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,0,0,0,0,9,840
261260,Sekincau Belirang,Caldera,Unknown,Indonesia,Indonesia,Sumatra,-5.107,104.317,1717,Subduction zone / Continental crust (>25 km),Unrest / Holocene,176,2238,18911,2336471,0,360
263300,Semeru,Stratovolcano,2020,Indonesia,Indonesia,Java,-8.108,112.922,3657,Subduction zone / Continental crust (>25 km),Eruption Observed,2686,8375,1022197,20098931,65,360
311060,Semisopochnoi,Stratovolcano,2020,United States,Alaska,Aleutian Islands,51.93,179.58,1221,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,0,0,0,0,9,840
341092,Serdan-Oriental,Tuff cone,Unknown,Mexico,México and Central America,Mexico,19.27,-97.47,3485,Subduction zone / Continental crust (>25 km),Evidence Credible,93158,93158,211350,7672879,0,484
265070,Serua,Stratovolcano,1921,Indonesia,Indonesia,Banda Sea,-6.312,130.017,608,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,58,58,58,258,12,360
382080,Sete Cidades,Stratovolcano,1880,Portugal,Atlantic Ocean,Azores,37.87,-25.78,856,Rift zone / Oceanic crust (< 15 km),Eruption Observed,3515,10365,102848,127154,9,620
261020,Seulawah Agam,Stratovolcano,1839,Indonesia,Indonesia,Sumatra,5.448,95.658,1810,Subduction zone / Continental crust (>25 km),Eruption Observed,226,10555,306345,1565392,2,360
300700,Severny,Shield,-1550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,58.28,160.87,1936,Subduction zone / Continental crust (>25 km),Eruption Dated,0,0,4,3152,0,643
323010,Shasta,Stratovolcano,1250,United States,Canada and Western USA,USA (California),41.409,-122.193,4317,Subduction zone / Continental crust (>25 km),Eruption Observed,0,35,19785,265016,3,840
300270,Sheveluch,Stratovolcano,2020,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.653,161.36,3283,Subduction zone / Continental crust (>25 km),Eruption Observed,0,0,1718,11613,28,643
283121,Shiga,Shield,Unknown,Japan,"Japan, Taiwan, Marianas",Honshu,36.688,138.519,2041,Subduction zone / Continental crust (>25 km),Evidence Uncertain,2474,9610,449713,5784413,0,392
285040,Shikotsu,Caldera,1979,Japan,"Japan, Taiwan, Marianas",Hokkaido,42.688,141.38,1320,Subduction zone / Continental crust (>25 km),Eruption Observed,130474,130474,316816,3096376,39,392
285090,Shiretoko-Iozan,Stratovolcano,1936,Japan,"Japan, Taiwan, Marianas",Hokkaido,44.133,145.161,1562,Subduction zone / Continental crust (>25 km),Eruption Observed,6,1516,7890,209060,6,392
311360,Shishaldin,Stratovolcano,2020,United States,Alaska,Aleutian Islands,54.756,-163.97,2857,Subduction zone / Continental crust (>25 km),Eruption Observed,0,0,10,197,47,840
261110,Sibualbuali,Stratovolcano,Unknown,Indonesia,Indonesia,Sumatra,1.556,99.255,1819,Subduction zone / Continental crust (>25 km),Evidence Uncertain,2249,10838,404339,2481584,0,360
222052,Silali,Shield,-5050,Kenya,Africa and Red Sea,Africa (eastern),1.15,36.23,1528,Rift zone / Continental crust (>25 km),Eruption Dated,157,784,18705,917921,0,404
272040,Silay,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Central Philippines,10.77,123.23,1510,Subduction zone / Continental crust (>25 km),Unrest / Holocene,310,11499,1167963,9522729,0,608
320160,Silverthrone,Caldera,Unknown,Canada,Canada and Western USA,Canada,51.43,-126.3,3160,Subduction zone / Continental crust (>25 km),Evidence Credible,7,7,67,1278,0,124
255050,Simbo,Stratovolcano,1910,Solomon Islands,Melanesia and Australia,Bougainville and Solomon Islands,-8.292,156.52,335,Subduction zone / Crustal thickness unknown,Eruption Dated,210,240,833,27923,1,90
261080,Sinabung,Stratovolcano,2019,Indonesia,Indonesia,Sumatra,3.17,98.392,2460,Subduction zone / Continental crust (>25 km),Eruption Observed,997,13801,163630,7646863,4,360
261070,Singkut,Caldera,1881,Indonesia,Indonesia,Sumatra,3.248,98.501,2181,Subduction zone / Continental crust (>25 km),Eruption Observed,11833,21448,228453,7958409,1,360
343002,"Singuil, Cerro",Pyroclastic cone,Unknown,El Salvador,México and Central America,El Salvador and Honduras,14.054,-89.631,926,Subduction zone / Continental crust (>25 km),Evidence Credible,25874,156926,883616,6672302,0,222
390025,Siple,Shield,Unknown,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-73.43,-126.67,3110,Intraplate / Continental crust (>25 km),Evidence Uncertain,0,0,0,0,0,10
264270,Sirung,Complex,2015,Indonesia,Indonesia,Lesser Sunda Islands,-8.508,124.13,862,Subduction zone / Crustal thickness unknown,Eruption Observed,5966,19334,69744,418756,13,360
263180,Slamet,Stratovolcano,2014,Indonesia,Indonesia,Java,-7.242,109.208,3428,Subduction zone / Continental crust (>25 km),Eruption Observed,856,13401,2904026,20217467,46,360
300660,Snezhniy,Shield,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,58.02,160.8,2169,Subduction zone / Continental crust (>25 km),Evidence Uncertain,0,0,10,1844,0,643
341021,Socorro,Shield,1994,Mexico,México and Central America,Mexico,18.78,-110.95,1050,Rift zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,0,5,484
326010,Soda Lakes,Maar(s),Unknown,United States,Canada and Western USA,USA (Nevada),39.53,-118.87,1251,Rift zone / Continental crust (>25 km),Evidence Credible,1616,11149,25655,557259,0,840
357111,Sollipulli,Caldera,1240,Chile,South America,Central Chile and Argentina,-38.97,-71.52,2282,Subduction zone / Continental crust (>25 km),Eruption Dated,2971,2971,8904,510741,1,152
266030,Soputan,Stratovolcano,2020,Indonesia,Indonesia,Sulawesi,1.112,124.737,1785,Subduction zone / Continental crust (>25 km),Eruption Observed,4724,69991,501336,1696768,41,360
261120,Sorikmarapi,Stratovolcano,1986,Indonesia,Indonesia,Sumatra,0.686,99.539,2145,Subduction zone / Continental crust (>25 km),Eruption Observed,203,1469,90257,1831957,10,360
360060,Soufriere Guadeloupe,Stratovolcano,1977,France,West Indies,West Indies,16.044,-61.664,1467,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,8839,71345,256899,482449,12,250
360050,Soufriere Hills,Stratovolcano,2013,United Kingdom,West Indies,West Indies,16.72,-62.18,915,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,3006,9401,9458,448929,6,826
360150,Soufriere St. Vincent,Stratovolcano,1979,Saint Vincent and the Grenadines,West Indies,West Indies,13.33,-61.18,1220,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,1491,15327,103882,291476,13,670
390070,Southern Thule,Stratovolcano,1975,United Kingdom,Antarctica,Antarctica and South Sandwich Islands,-59.442,-27.225,1075,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,0,1,826
320070,Spectrum Range,Shield,Unknown,Canada,Canada and Western USA,Canada,57.43,-130.68,2430,Intraplate / Continental crust (>25 km),Evidence Credible,0,0,0,386,0,124
313040,Spurr,Stratovolcano,1992,United States,Alaska,Alaska (southwestern),61.299,-152.251,3374,Subduction zone / Continental crust (>25 km),Eruption Observed,0,0,0,11097,4,840
250010,St. Andrew Strait,Complex,1957,Papua New Guinea,Melanesia and Australia,Admiralty Islands,-2.38,147.35,270,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,633,678,2870,47539,2,598
360170,St. Catherine,Stratovolcano,Unknown,Grenada,West Indies,West Indies,12.15,-61.67,840,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,8561,41976,84210,93321,0,308
321050,St. Helens,Stratovolcano,2008,United States,Canada and Western USA,USA (Washington),46.2,-122.18,2549,Subduction zone / Continental crust (>25 km),Eruption Observed,78,427,2221,2173101,22,840
314040,St. Michael,Shield,Unknown,United States,Alaska,Alaska (western),63.45,-162.12,715,Intraplate / Continental crust (>25 km),Evidence Credible,662,662,662,2625,0,840
314010,St. Paul Island,Shield,-1280,United States,Alaska,Alaska (western),57.18,-170.3,203,Intraplate / Continental crust (>25 km),Eruption Dated,582,582,582,783,1,840
211040,Stromboli,Stratovolcano,2020,Italy,Mediterranean and Western Asia,Italy,38.789,15.213,924,Subduction zone / Continental crust (>25 km),Eruption Observed,2225,2225,3894,1347563,6,380
342160,Suchitan,Stratovolcano,Unknown,Guatemala,México and Central America,Guatemala,14.4,-89.78,2042,Subduction zone / Continental crust (>25 km),Evidence Credible,4149,49376,421074,8257118,1,320
252090,Sulu Range,Stratovolcano,Unknown,Papua New Guinea,Melanesia and Australia,New Britain,-5.5,150.942,610,Subduction zone / Continental crust (>25 km),Unrest / Holocene,298,1543,15051,135039,0,598
352040,Sumaco,Stratovolcano,1895,Ecuador,South America,Ecuador,-0.538,-77.626,3990,Subduction zone / Continental crust (>25 km),Evidence Uncertain,39,324,8384,679867,3,218
261180,Sumbing,Stratovolcano,1921,Indonesia,Indonesia,Sumatra,-2.414,101.728,2507,Subduction zone / Continental crust (>25 km),Eruption Observed,3,304,49583,1209448,2,360
263220,Sumbing,Stratovolcano,1730,Indonesia,Indonesia,Java,-7.384,110.07,3371,Subduction zone / Continental crust (>25 km),Eruption Observed,15294,310361,2425607,25707858,1,360
284080,Sumisujima,Submarine,1916,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",31.44,140.051,136,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,0,24,392
263210,Sundoro,Stratovolcano,1971,Indonesia,Indonesia,Java,-7.3,109.992,3136,Subduction zone / Continental crust (>25 km),Eruption Observed,52462,496751,2086299,24996512,9,360
257010,Suretamatai,Complex,1966,Vanuatu,Melanesia and Australia,Vanuatu,-13.8,167.47,921,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,68,3509,5555,9242,4,548
222110,Suswa,Shield,Unknown,Kenya,Africa and Red Sea,Africa (eastern),-1.151,36.357,2356,Rift zone / Continental crust (>25 km),Evidence Credible,474,4041,105232,6914644,0,404
282030,Suwanosejima,Stratovolcano,2020,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,29.638,129.714,796,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,107,107,325,1966,27,392
273070,Taal,Caldera,2020,Philippines,Philippines and SE Asia,Luzon,14.002,120.993,311,Subduction zone / Continental crust (>25 km),Eruption Observed,717090,717090,2380326,24814047,35,608
355011,Taapaca,Complex,-320,Chile,South America,"Northern Chile, Bolivia and Argentina",-18.1,-69.5,5860,Subduction zone / Continental crust (>25 km),Eruption Dated,3,87,1994,505369,0,152
343072,Taburete,Stratovolcano,Unknown,El Salvador,México and Central America,El Salvador and Honduras,13.435,-88.532,1172,Subduction zone / Continental crust (>25 km),Evidence Uncertain,11815,71829,581517,5543122,0,222
341130,Tacana,Stratovolcano,1986,Mexico-Guatemala,México and Central America,Mexico,15.132,-92.109,4064,Subduction zone / Continental crust (>25 km),Eruption Observed,3032,20932,598594,4523701,5,0
355010,Tacora,Stratovolcano,Unknown,Chile-Peru,South America,"Northern Chile, Bolivia and Argentina",-17.72,-69.77,5980,Subduction zone / Continental crust (>25 km),Unrest / Holocene,7,539,8757,411691,2,0
243120,Tafu-Maka,Submarine,2008,Tonga,New Zealand to Fiji,Tonga Islands,-15.37,-174.23,-1400,Rift zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,1755,1,776
342141,Tahual,Stratovolcano,Unknown,Guatemala,México and Central America,Guatemala,14.43,-89.9,1716,Subduction zone / Continental crust (>25 km),Evidence Credible,10052,49010,449894,7570087,0,320
221010,"Tair, Jebel at",Stratovolcano,2008,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,15.55,41.83,244,Rift zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,14493,5,887
285060,Taisetsuzan,Stratovolcano,1739,Japan,"Japan, Taiwan, Marianas",Hokkaido,43.664,142.854,2291,Subduction zone / Continental crust (>25 km),Eruption Dated,19,119,16391,1304267,1,392
283143,Takaharayama,Stratovolcano,-4570,Japan,"Japan, Taiwan, Marianas",Honshu,36.9,139.777,1795,Subduction zone / Continental crust (>25 km),Eruption Dated,303,4572,381490,8750106,0,392
390027,Takahe,Shield,-5550,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-76.28,-112.08,3460,Intraplate / Continental crust (>25 km),Eruption Dated,0,0,0,0,0,10
263150,Talagabodas,Stratovolcano,Unknown,Indonesia,Indonesia,Java,-7.208,108.07,2201,Subduction zone / Continental crust (>25 km),Unrest / Holocene,7953,68266,2388005,24525517,0,360
261130,Talakmau,Complex,Unknown,Indonesia,Indonesia,Sumatra,0.079,99.98,2919,Subduction zone / Continental crust (>25 km),Evidence Credible,75,3261,352639,2728121,1,360
261160,Talang,Stratovolcano,2007,Indonesia,Indonesia,Sumatra,-0.979,100.681,2575,Subduction zone / Continental crust (>25 km),Eruption Observed,1593,18512,214975,3283153,15,360
264040,Tambora,Stratovolcano,1967,Indonesia,Indonesia,Lesser Sunda Islands,-8.25,118.0,2850,Subduction zone / Continental crust (>25 km),Eruption Observed,4156,11331,89006,1036033,4,360
311080,Tanaga,Stratovolcano,1914,United States,Alaska,Aleutian Islands,51.885,-178.146,1806,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,0,0,0,0,6,840
261150,Tandikat-Singgalang,Stratovolcano,1924,Indonesia,Indonesia,Sumatra,-0.39,100.331,2854,Subduction zone / Continental crust (>25 km),Eruption Observed,130,38799,604282,4022932,4,360
266130,Tangkoko-Duasudara,Stratovolcano,1880,Indonesia,Indonesia,Sulawesi,1.518,125.185,1334,Subduction zone / Continental crust (>25 km),Eruption Observed,445,57792,135761,1227998,7,360
263090,Tangkuban Parahu,Stratovolcano,2019,Indonesia,Indonesia,Java,-6.77,107.6,2084,Subduction zone / Continental crust (>25 km),Eruption Observed,100608,518822,5729309,32855731,20,360
290310,Tao-Rusyr Caldera,Stratovolcano,1952,Russia,Kuril Islands,Kuril Islands,49.35,154.7,1325,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,0,73,83,394,1,643
268001,Tarakan,Pyroclastic cone,Unknown,Indonesia,Indonesia,Halmahera,1.83,127.83,318,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,18056,23570,85055,360761,0,360
241030,Taranaki,Stratovolcano,1800,New Zealand,New Zealand to Fiji,New Zealand,-39.3,174.07,2518,Subduction zone / Continental crust (>25 km),Eruption Observed,200,230,77381,104499,15,554
303010,Taryatu-Chulutu,Volcanic field,-2980,Mongolia,Kamchatka and Mainland Asia,Mongolia,48.133,99.95,2326,Intraplate / Continental crust (>25 km),Eruption Dated,5602,5602,5602,29050,0,496
281032,Tatun Volcanic Group,Lave dome,648,Taiwan,"Japan, Taiwan, Marianas",Taiwan,25.178,121.553,1120,Subduction zone / Continental crust (>25 km),Eruption Dated,5084149,5084149,6735396,9862061,0,0
244001,Ta'u,Shield,Unknown,United States,New Zealand to Fiji,Samoan and Wallis Islands,-14.23,-169.454,931,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,95,1154,1538,1538,0,840
241070,Taupo,Caldera,260,New Zealand,New Zealand to Fiji,New Zealand,-38.82,176.0,760,Subduction zone / Continental crust (>25 km),Eruption Dated,21456,21456,26674,161966,0,554
245010,Taveuni,Shield,1550,Fiji,New Zealand to Fiji,Fiji Islands,-16.82,-179.97,1241,Subduction zone / Crustal thickness unknown,Eruption Dated,692,3220,19186,146131,5,242
343080,Tecapa,Stratovolcano,Unknown,El Salvador,México and Central America,El Salvador and Honduras,13.494,-88.502,1593,Subduction zone / Continental crust (>25 km),Evidence Credible,37337,80502,590144,5599535,1,222
342120,Tecuamburro,Stratovolcano,-960,Guatemala,México and Central America,Guatemala,14.156,-90.407,1845,Subduction zone / Continental crust (>25 km),Eruption Dated,1939,29560,313834,6874746,0,320
344040,Telica,Stratovolcano,2018,Nicaragua,México and Central America,Nicaragua,12.606,-86.84,1036,Subduction zone / Continental crust (>25 km),Eruption Observed,1079,21990,327294,2982538,50,558
263231,Telomoyo,Stratovolcano,Unknown,Indonesia,Indonesia,Java,-7.362,110.4,1864,Subduction zone / Continental crust (>25 km),Evidence Credible,38661,166844,2794587,25617237,0,360
261050,"Telong, Bur ni",Stratovolcano,1937,Indonesia,Indonesia,Sumatra,4.769,96.821,2617,Subduction zone / Continental crust (>25 km),Eruption Observed,1342,25733,125812,1631846,6,360
213030,Tenduruk Dagi,Shield,1855,Turkey,Mediterranean and Western Asia,Turkey,39.356,43.874,3514,Intraplate / Continental crust (>25 km),Eruption Observed,550,5060,173581,1938900,1,792
383030,Tenerife,Stratovolcano,1909,Spain,Atlantic Ocean,Canary Islands,28.271,-16.641,3715,Intraplate / Oceanic crust (< 15 km),Eruption Observed,0,156,337660,766276,10,724
275110,Tengchong,Pyroclastic cone,-5750,China,Philippines and SE Asia,Southeast Asia,25.23,98.5,2865,Intraplate / Continental crust (>25 km),Eruption Dated,153375,153375,419814,2932117,1,156
263310,Tengger Caldera,Stratovolcano,2019,Indonesia,Indonesia,Java,-7.942,112.95,2329,Subduction zone / Continental crust (>25 km),Eruption Observed,27826,69451,1420878,22628278,65,360
345031,Tenorio,Stratovolcano,Unknown,Costa Rica,México and Central America,Costa Rica,10.673,-85.015,1916,Subduction zone / Continental crust (>25 km),Evidence Credible,436,11670,92344,943351,0,188
221292,Tepi,Shield,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,7.42,35.43,2728,Intraplate / Continental crust (>25 km),Unrest / Holocene,63395,63395,207121,1629787,0,231
382050,Terceira,Stratovolcano,2000,Portugal,Atlantic Ocean,Azores,38.73,-27.32,1023,Rift zone / Oceanic crust (< 15 km),Eruption Observed,2928,12299,55425,81512,5,620
373090,Theistareykir,Shield,-900,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),65.833,-17.166,540,Rift zone / Oceanic crust (< 15 km),Eruption Dated,0,36,3711,25779,0,352
322070,Three Sisters,Complex,440,United States,Canada and Western USA,USA (Oregon),44.133,-121.767,3159,Subduction zone / Continental crust (>25 km),Eruption Dated,0,0,5672,279885,1,840
268061,Tidore,Stratovolcano,Unknown,Indonesia,Indonesia,Halmahera,0.658,127.4,1730,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,37379,74120,320483,530066,0,360
343082,"Tigre, El",Stratovolcano,Unknown,El Salvador,México and Central America,El Salvador and Honduras,13.47,-88.43,1640,Subduction zone / Continental crust (>25 km),Evidence Credible,24354,112718,786750,5456104,0,222
343130,"Tigre, Isla el",Stratovolcano,Unknown,Honduras,México and Central America,El Salvador and Honduras,13.272,-87.641,783,Subduction zone / Continental crust (>25 km),Evidence Credible,5000,9983,156692,2725661,0,340
355105,Tilocalar,Lave cone,Unknown,Chile,South America,"Northern Chile, Bolivia and Argentina",-23.97,-68.13,3109,Subduction zone / Continental crust (>25 km),Evidence Uncertain,5,9,487,6154,0,152
256010,Tinakula,Stratovolcano,2020,Solomon Islands,Melanesia and Australia,Santa Cruz Islands,-10.386,165.804,796,Subduction zone / Crustal thickness unknown,Eruption Observed,0,19,19,20155,26,90
372040,Tindfjallajokull,Stratovolcano,Unknown,Iceland,Iceland and Arctic Ocean,Iceland (southern),63.783,-19.716,1464,Rift zone / Oceanic crust (< 15 km),Evidence Uncertain,0,0,833,19159,0,352
357030,Tinguiririca,Stratovolcano,1917,Chile,South America,Central Chile and Argentina,-34.814,-70.352,4280,Subduction zone / Continental crust (>25 km),Eruption Observed,10,47,1883,881383,2,152
300560,Titila,Shield,-550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,57.406,160.108,1523,Subduction zone / Continental crust (>25 km),Eruption Dated,0,0,72,2877,0,643
373100,Tjornes Fracture Zone,Submarine,1868,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),66.309,-17.118,-75,Rift zone / Oceanic crust (< 15 km),Eruption Observed,0,0,807,22407,1,352
315060,Tlevak Strait-Suemez Is.,Volcanic field,Unknown,United States,Alaska,Alaska (eastern),55.25,-133.3,50,Subduction zone / Continental crust (>25 km),Evidence Credible,0,0,1596,6552,0,840
261090,Toba,Caldera,Unknown,Indonesia,Indonesia,Sumatra,2.58,98.83,2157,Subduction zone / Continental crust (>25 km),Evidence Credible,125908,125908,168995,3437177,0,360
268050,Todoko-Ranu,Caldera,Unknown,Indonesia,Indonesia,Halmahera,1.25,127.47,979,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,366,10748,56900,631999,0,360
225001,Todra Volcanic Field,Pyroclastic cone,Unknown,Niger,Africa and Red Sea,Africa (northern),17.68,8.5,1780,Intraplate / Continental crust (>25 km),Evidence Credible,362,362,927,146935,0,562
243060,Tofua,Caldera,2014,Tonga,New Zealand to Fiji,Tonga Islands,-19.75,-175.07,515,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,1556,1556,1556,8789,11,776
225009,"Toh, Tarso",Volcanic field,Unknown,Chad,Africa and Red Sea,Africa (northern),21.33,16.33,2000,Intraplate / Continental crust (>25 km),Evidence Credible,0,0,0,4088,0,148
285050,Tokachidake,Stratovolcano,2004,Japan,"Japan, Taiwan, Marianas",Hokkaido,43.418,142.686,2077,Subduction zone / Continental crust (>25 km),Eruption Observed,12,227,60382,1373264,21,392
300240,Tolbachik,Shield,2013,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.832,160.326,3611,Subduction zone / Continental crust (>25 km),Eruption Observed,0,0,225,10487,36,643
357093,Tolhuaca,Stratovolcano,-4000,Chile,South America,Central Chile and Argentina,-38.31,-71.645,2739,Subduction zone / Continental crust (>25 km),Evidence Credible,82,494,13873,567185,0,152
351030,"Tolima, Nevado del",Stratovolcano,1943,Colombia,South America,Colombia,4.658,-75.33,5215,Subduction zone / Continental crust (>25 km),Eruption Observed,1660,6563,441916,4258333,4,170
342070,Toliman,Stratovolcano,Unknown,Guatemala,México and Central America,Guatemala,14.612,-91.189,3158,Subduction zone / Continental crust (>25 km),Evidence Credible,5641,67361,703786,8130714,0,320
341070,"Toluca, Nevado de",Stratovolcano,-1350,Mexico,México and Central America,Mexico,19.108,-99.758,4680,Subduction zone / Continental crust (>25 km),Eruption Dated,126,1240,1626432,25247342,0,484
290010,Tomariyama [Golovnin],Caldera,1848,Japan - administered by Russia,Kuril Islands,Kuril Islands,43.844,145.504,535,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,1796,1796,2445,159344,2,0
224011,Tombel Graben,Pyroclastic cone,Unknown,Cameroon,Africa and Red Sea,Africa (western),4.758,9.717,500,Intraplate / Continental crust (>25 km),Evidence Credible,234623,234623,434892,4087423,0,120
266070,Tondano Caldera,Caldera,Unknown,Indonesia,Indonesia,Sulawesi,1.23,124.83,1202,Subduction zone / Continental crust (>25 km),Unrest / Holocene,321308,321308,903706,1558655,0,360
390026,Toney Mountain,Shield,Unknown,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-75.8,-115.83,3595,Intraplate / Continental crust (>25 km),Evidence Uncertain,0,0,0,0,0,10
241080,Tongariro,Stratovolcano,2012,New Zealand,New Zealand to Fiji,New Zealand,-39.157,175.632,1978,Subduction zone / Continental crust (>25 km),Eruption Observed,27,286,7591,81567,74,554
372050,Torfajokull,Stratovolcano,1477,Iceland,Iceland and Arctic Ocean,Iceland (southern),63.892,-19.122,1280,Rift zone / Oceanic crust (< 15 km),Eruption Observed,0,0,7,16304,2,352
284011,Toshima,Stratovolcano,-4550,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.52,139.279,508,Subduction zone / Oceanic crust (< 15 km),Eruption Dated,330,331,13194,5285115,0,392
225010,"Tousside, Tarso",Stratovolcano,Unknown,Chad,Africa and Red Sea,Africa (northern),21.03,16.45,3265,Intraplate / Continental crust (>25 km),Evidence Credible,0,0,394,5038,0,148
